"","orden_de_gobierno","siglas_de_la_institucion","institucion","clave_de_la_uc","nombre_de_la_uc","responsable_de_la_uc","codigo_del_expediente","titulo_del_expediente","plantilla_del_expediente","fundamento_legal","numero_del_procedimiento","fecha_de_fallo","fecha_de_publicacion","fecha_de_apertura","caracter_del_procedimiento","tipo_de_contratacion","tipo_de_procedimiento","forma_de_participacion","codigo_del_contrato","num_de_control_del_contrato","titulo_del_contrato","fecha_de_inicio_del_contrato","fecha_de_fin_del_contrato","importe_del_contrato","moneda_del_contrato","estatus_del_contrato","convenio_modificatorio","clave_del_programa_federal","fecha_de_firma_del_contrato","contrato_marco","compra_consolidada","contrato_plurianual","clave_de_cartera_shcp","folio_en_el_rupc","rfc","proveedor_o_contratista","estratificacion_de_la_empresa","clave_del_pais_de_la_empresa","rfc_verificado_en_el_sat","credito_externo","organismo_financiero","direccion_del_anuncio","d_fallo","d_publicacion","d_apertura","d_inicio_del_contrato","d_fin_del_contrato","d_firma_del_contrato","dd_pub_y_aper","dd_pub_y_fallo","dd_aper_y_fallo","p_exp","p_con","quinced"
"11","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1624544","SERVICIO ADMINISTRADO DE SEGURIDAD PERIMETRAL","05. Adjudicación Directa LAASSP","Art. 41 fr. VII","AA-006A00996-E14-2018",NA,2018-04-10 12:36:00,2018-02-16 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Mixta","1963355","DGAF/DI/08/AD/2018-1","SERVICIO ADMINISTRADO DE SEGURIDAD PERIMETRAL",2019-01-01,2019-02-28,"306812.75","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"MAINBIT S.A. DE C.V",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1398922",NA,"martes","viernes","martes","jueves","viernes",-54,NA,NA,4,4,1
"12","APF","SCT","Secretaría de Comunicaciones y Transportes","009000049","SCT-Centro SCT Baja California #009000049","Ernesto Aguilar Gandara","1625089","Servicio de Jardinería y Fumigación","03. Invitación a Cuando Menos Tres Personas LAASSP","Art. 42 párrafo primero","IA-009000049-E7-2018",2018-03-23,2018-02-27 17:45:00,2018-03-15 14:00:00,"Nacional","Servicios","Invitación a Cuando Menos 3 Personas","Presencial","1968506","CSCT-622-DRM-08-18/1","Convenio de Ampliación en Tiempo y Monto al contrato del Servicio de Jardinería y Fumigación",2019-01-01,2019-02-28,"144000","MXN","Activo","0",NA,2018-11-26,"No se utilizó el Contrato Marco","0","0",NA,"11342","PCB900924348","PEST CONTROL BAJA SA DE CV","Pequeña","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1399372","viernes","martes","jueves","martes","jueves","lunes",16,23,7,4,14,0
"13","APF","PRONOSTICOS","Pronósticos para la Asistencia Pública","006HJY001","PRONOSTICOS-Gerencia de Recursos Materiales #006HJY001","Carlos Moisés González González","1625980","SERVICIO INTEGRAL PARA EL CÁLCULO DE MOMIOS Y MANEJO DEL RIESGO","05. Adjudicación Directa LAASSP","Art. 41 fr. I","AA-006HJY001-E24-2018",NA,2018-03-02 11:48:00,2018-02-28 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Electrónica","1733167","006-2018","SERVICIO INTEGRAL PARA EL CÁLCULO DE MOMIOS Y MANEJO DEL RIESGO PARA EL CONCURSO MI PROGOL DE PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA",2019-01-01,2019-02-28,"12828000","MXN","Activo","1",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"Gtech Servicios de México, S. de R.L. de C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1402436",NA,"viernes","miércoles","martes","jueves",NA,-2,NA,NA,10,21,1
"14","APF","PRONOSTICOS","Pronósticos para la Asistencia Pública","006HJY001","PRONOSTICOS-Gerencia de Recursos Materiales #006HJY001","Carlos Moisés González González","1626313","Servicios profesionales de asesoria en materia deportiva","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006HJY001-E25-2018",NA,2018-02-28 14:50:00,2018-02-28 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Electrónica","1730577","007-2018","Servicios profesionales de asesoria en materia deportiva",2019-01-01,2019-02-28,"248275.87","MXN","Activo","1",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"SERGIO ARTURO AMADOR AGUILERA",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1400536",NA,"miércoles","miércoles","martes","jueves",NA,-1,NA,NA,6,6,1
"15","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1627176","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A VEHICULOS AUTOMOTORES","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006A00996-E15-2018",NA,2018-03-01 11:04:00,2018-02-13 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1968179","P-DGAF-SRMYSG-10-AD-2018-1","SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A VEHÍCULOS AUTOMOTORES",2019-01-01,2019-02-28,"59600","MXN","Activo","0","08S262-P APOYOS COMERCIALIZACION",2018-11-22,"No se utilizó el Contrato Marco","0","0",NA,NA,"MAK900504BA8","MAGYAR AUTO KLUB S DE RL DE CV","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1401257",NA,"jueves","martes","martes","jueves","jueves",-16,NA,NA,8,8,1
"16","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1627265","SUMINISTRO DE AGUA EMBOTELLADA EN GARRAFON DE 20 LITROS","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006A00996-E16-2018",NA,2018-03-01 11:37:00,2018-01-12 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1966402","P-DGAF-SRMySG-03-AD-2018-1","SUMINISTRO DE AGUA EMBOTELLADA EN GARRAFON DE 20 LITROS",2019-01-01,2019-02-28,"27000","MXN","Activo","0","08S262-P APOYOS COMERCIALIZACION",2018-11-22,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"ELECTROPURA",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1401329",NA,"jueves","viernes","martes","jueves","jueves",-48,NA,NA,8,8,1
"17","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1630044","SERVICIO DE MANTENIMIENTO INTEGRAL","05. Adjudicación Directa LAASSP","Art. 41 fr. III","AA-006A00996-E18-2018",NA,2018-03-05 12:02:00,2018-02-26 10:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Mixta","1963135","DGAF/DA/11/AD/2018-2","SERVICIO DE MANTENIMIENTO INTEGRAL",2019-01-01,2019-02-28,"468173.51","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"PROYECTOS INSTALACIONES Y MANTENIMIENTO ELECTROMECANICO, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1403982",NA,"lunes","lunes","martes","jueves","viernes",-7,NA,NA,3,3,1
"18","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1632879","SOPORTE TÉCNICO Y MANTENIMIENTO PARA EQUIPOS DE IMPRESIÓN DE FORMATO AMPLIO","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006A00996-E21-2018",NA,2018-03-07 11:58:00,2018-02-01 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1966436","P-DGAF-DI-07-AD-2018-1","SOPORTE TÉCNICO Y MANTENIMIENTO PARA EQUIPOS DE IMPRESIÓN DE FORMATO AMPLIO",2019-01-01,2019-02-28,"40112.61","MXN","Activo","0","08S262-P APOYOS COMERCIALIZACION",2018-11-16,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"TIBURCIO GEORGE MATLALCUATZI","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1406450",NA,"miércoles","jueves","martes","jueves","viernes",-34,NA,NA,10,10,1
"19","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1633543","SUMINISTRO DE MATERIALES Y ÚTILES DE OFICINA Y CONSUMIBLES","01. Licitación Pública LAASSP",NA,"LA-006A00996-E23-2018",2018-04-13,2018-03-20 09:58:00,2018-04-11 08:30:00,"Nacional","Adquisiciones","Licitación Pública","Mixta","1963218","DGAF/SRMYSG/20/LPN/2018-1","SUMINISTRO DE MATERIALES Y ÚTILES DE OFICINA",2019-01-01,2019-03-31,"239344.82","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,"508579","GIX151118RT9","GASTELUM IX SA DE CV","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1407044","viernes","martes","miércoles","martes","domingo","viernes",22,24,2,8,6,0
"20","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1633543","SUMINISTRO DE MATERIALES Y ÚTILES DE OFICINA Y CONSUMIBLES","01. Licitación Pública LAASSP",NA,"LA-006A00996-E23-2018",2018-04-13,2018-03-20 09:58:00,2018-04-11 08:30:00,"Nacional","Adquisiciones","Licitación Pública","Mixta","1963234","DGAF/SRMYSG21/LPN/2018-1","SUMINISTRO DE CONSUMIBLES DE BIENES INFORMÁTICOS",2019-01-01,2019-03-31,"37756.89","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"CICOVISA, S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1407044","viernes","martes","miércoles","martes","domingo","viernes",22,24,2,8,5,0
"21","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1633949","PÓLIZA DE SERVICIOS DE MONITOREO, MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006A00996-E24-2018",NA,2018-03-08 12:17:00,2018-02-12 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1968166","P-DGAF-DI-08-AD-2018-1","PÓLIZA DE SERVICIOS DE MONITOREO, MANTENIMIENTO PREVENTIVO Y CORRECTIVO A EQUIPO DE AIRE ACONDICIONADO Y UPS",2019-01-01,2019-02-28,"47800","MXN","Activo","0","08S262-P APOYOS COMERCIALIZACION",2018-11-16,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"SINTEG EN MEXICO S.A. DE C.V.",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1407444",NA,"jueves","lunes","martes","jueves","viernes",-25,NA,NA,10,15,1
"22","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1637955","SERVICIO DE FUMIGACIÓN","05. Adjudicación Directa LAASSP","Art. 42 párrafo primero","AA-006A00996-E25-2018",NA,2018-03-13 12:52:00,2018-02-21 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1968207","P-DGAF-SRMYSG-12-AD-2018-1","SERVICIO DE FUMIGACIÓN",2019-01-01,2019-02-28,"19050","MXN","Activo","0","08S262-P APOYOS COMERCIALIZACION",2018-11-23,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"MARIANA REGALADO SOBERON","Micro","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1411212",NA,"martes","miércoles","martes","jueves","viernes",-21,NA,NA,2,2,1
"23","APF","SCT","Secretaría de Comunicaciones y Transportes","009000049","SCT-Centro SCT Baja California #009000049","Ernesto Aguilar Gandara","1644860","Mantenimiento Preventivo y Correctivo a Unidades Vehiculares Oficiales","01. Licitación Pública LAASSP",NA,"LA-009000049-E11-2018",2018-04-12,2018-03-21 19:27:00,2018-04-09 12:00:00,"Nacional","Servicios","Licitación Pública","Electrónica","1968503","CSCT-622-DRM-15-18/1","Convenio de Ampliación en Tiempo al Servicio de Mantenimiento Preventivo y Correctivo a Unidades Vehiculares Oficiales",2019-01-01,2019-02-28,"0","MXN","Activo","0",NA,2018-11-26,"No se utilizó el Contrato Marco","0","0",NA,NA,"MRM0412304Y9","MERCADO DE REFACCIONES DE MEXICO SA DE CV","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1417556","jueves","miércoles","lunes","martes","jueves","lunes",19,21,2,7,15,0
"24","APF","INDAABIN","Instituto de Administración y Avalúos de Bienes Nacionales","006A00996","INDAABIN-Direccion General de Administración y Finanzas #006A00996","Gustavo Paul Álvarez Lucero","1649555","SUMINISTRO DE COMBUSTIBLE A TRAVÉS DE MONEDEROS ELECTRÓNICO","05. Adjudicación Directa LAASSP","Art. 42 párrafo quinto","AA-006A00996-E27-2018",NA,2018-04-10 15:48:00,2018-03-28 00:00:00,"Nacional","Adquisiciones","Adjudicación Directa Federal","Mixta","1963200","DGAF/SRMYSG/19/AD/2018-1","SUMINISTRO DE COMBUSTIBLE A TRAVÉS DE MONEDEROS ELECTRÓNICOS",2019-01-01,2019-02-28,"36896.55","MXN","Activo","1",NA,2018-11-30,"No se utilizó el Contrato Marco","0","0",NA,NA,NA,"EFECTIVALE S de RL de CV",NA,"MX","0",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1422119",NA,"martes","miércoles","martes","jueves","viernes",-14,NA,NA,7,7,1
"25","APF","HGM","Hospital General de México ""Dr. Eduardo Liceaga""","012NBD001","HGM-Subdirección de Recursos Materiales #012NBD001","Pablo Raúl Ocampo Velázquez","1653762","Adjudicación Directa DRMC-SRM-0017/2018 OFTALMOLÁSER DE MÉXICO","05. Adjudicación Directa LAASSP","Art. 41 fr. III","AA-012NBD001-E279-2018",NA,2018-04-04 09:37:00,2018-03-01 00:00:00,"Nacional","Servicios","Adjudicación Directa Federal","Presencial","1763189","Adjudicación Directa DRMC-SRM-0017/2018 OFTALMOLÁSER DE MÉXICO","DRMC-SRM-0017/2018",2019-01-01,2019-02-28,"3563495.41","MXN","Activo","1",NA,NA,"No se utilizó el Contrato Marco","0","0",NA,"16076","OME970303TD6","OFTALMOLASER DE MEXICO SA DE CV","Mediana","MX","1",NA,NA,"https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=1426191",NA,"miércoles","jueves","martes","jueves",NA,-34,NA,NA,5,0,1
